file,year,survey_type,agency_scope,question_id,main_question,question_texts,survey_variable_names,data_file_variable_names,variable_formats,values,value_labels,domain,weight_priority,matched_keywords
2004_AM_data.xlsx,2004,AM,,12,What is the time interval between signal timing plan modification?,What is the time interval between signal timing plan modification? || Other (please specify),IntervalBetweenSignalTiming || IntervalBetweenSignalTimingOther,04_AM_Q12_1R01C01 || 04_AM_Q12_2R01C01TXT,Multiple Choice || Text,"1,2,3,4,5,6,7",1=8 years or more; 2=4 years or more;3=2 years or more;4=annual;5=as needed;6=Other (please specify);7=No Response.,Signal Management and Intersection Control,High,signal timing
2004_AM_data.xlsx,2004,AM,,14,Does your agency participate in regional coordination of traffic signal timing plans?,Does your agency participate in regional coordination of traffic signal timing plans?,RegionalCoordination,04_AM_Q14_1R01C01,Multiple Choice,"0,1,2,3",0=No;1=Yes;2=No Response;3=Don’t Know,Signal Management and Intersection Control,High,traffic signal; signal timing
2004_AM_data.xlsx,2004,AM,,15,What is the scope of signal timing plan modifications?,What is the scope of signal timing plan modifications? || Other (please specify),ScopeOfSignalTiming || ScopeOfSignalTimingOther,04_AM_Q15_1R01C01 || 04_AM_Q15_2R01C01TXT,Multiple Choice || Text,"1,2,3,4,5",1=System wide;2=Central business district;3=Major intersection;4=Other (please specify);5=No Response,Signal Management and Intersection Control,High,signal timing
2004_AM_data.xlsx,2004,AM,,16,Number of miles covered by Highway Advisory Radio (HAR),Number of miles covered by Highway Advisory Radio (HAR),HAR2004,04_AM_Q16_1R01C01,Numeric,,,Traveler Information and User Services,Low,highway advisory radio
2004_AM_data.xlsx,2004,AM,,17,Total number of Permanent CMS deployed on arterials,Total number of Permanent CMS deployed on arterials,PermanentVMS2004,04_AM_Q17_1R01C01,Numeric,,,Traveler Information and User Services,Low,cms
2004_AM_data.xlsx,2004,AM,,21,Please check all the methods that your agency uses to distribute information to the public.,Please check all the methods that your agency uses to distribute information to the public. || Dedicated cable TV: || Automated telephone system: || Internet Web sites || Pagers or personal data assistants: || Interactive TV: || Kiosks: || E-mail or other direct PC communication: || In-vehicle navigation systems: || Facsimile: || 511 Telephone System || Do not distribute information || Other (please specify): || Please check all the types of information that your agency distributes to the public. || Arterial travel times: || Arterial travel speeds: || Incident information: || Special events: || Work zones/construction events: || Parking: || Weather: || Road surface conditions: || Road closures: || Detours: || Alternate routes: || Road restrictions: || Congestion: || CCTV images: || Travel and Tourist information: || Real-time construction information || Other (please specify),Dedicated_cable_TVDist2004 || Automated_phone_sysDist2004 || Internet_web_sitesDist2004 || Pagers_or_PDADist2004 || Interactive_TVDist2004 || KiosksDist2004 || EmailDist2004 || InVehicle_nav_systemsDist2004 || FacsimileDist2004 || T511_phone_systemDist2004 || Do_not_distribute_infoDist2004 || Other_AMQ21a || Arterial_travel_timesType2004 || Arterial_travel_speedsType2004 || Incident_informationType2004 || Special_eventsType2004 || Work_zones_constr_eventsType2004 || ParkingType2004 || WeatherType2004 || Road_surface_conditionsType2004 || Road_closuresType2004 || DetoursType2004 || Alternate_routesType2004 || Road_restrictionsType2004 || CongestionType2004 || CCTV_imagesType2004 || Travel_Tourist_infoType2004 || RealTime_constr_infoType2004 || OTHER_Q21b,04_AM_Q21_1R01C01 || 04_AM_Q21_1R02C01 || 04_AM_Q21_1R03C01 || 04_AM_Q21_1R04C01 || 04_AM_Q21_1R05C01 || 04_AM_Q21_1R06C01 || 04_AM_Q21_1R07C01 || 04_AM_Q21_1R08C01 || 04_AM_Q21_1R09C01 || 04_AM_Q21_1R10C01 || 04_AM_Q21_1R11C01 || 04_AM_Q21_1R12C01TXT || 04_AM_Q21_2R01C01 || 04_AM_Q21_2R02C01 || 04_AM_Q21_2R03C01 || 04_AM_Q21_2R04C01 || 04_AM_Q21_2R05C01 || 04_AM_Q21_2R06C01 || 04_AM_Q21_2R07C01 || 04_AM_Q21_2R08C01 || 04_AM_Q21_2R09C01 || 04_AM_Q21_2R10C01 || 04_AM_Q21_2R11C01 || 04_AM_Q21_2R12C01 || 04_AM_Q21_2R13C01 || 04_AM_Q21_2R14C01 || 04_AM_Q21_2R15C01 || 04_AM_Q21_2R16C01 || 04_AM_Q21_2R17C01TXT,Multiple Choice || Text,"0,1,2",0=No;1=Yes;2=No Response,Traffic Monitoring and Data Collection,High,cctv
2004_AM_data.xlsx,2004,AM,,21,Please check all the methods that your agency uses to distribute information to the public.,Please check all the methods that your agency uses to distribute information to the public. || Dedicated cable TV: || Automated telephone system: || Internet Web sites || Pagers or personal data assistants: || Interactive TV: || Kiosks: || E-mail or other direct PC communication: || In-vehicle navigation systems: || Facsimile: || 511 Telephone System || Do not distribute information || Other (please specify): || Please check all the types of information that your agency distributes to the public. || Arterial travel times: || Arterial travel speeds: || Incident information: || Special events: || Work zones/construction events: || Parking: || Weather: || Road surface conditions: || Road closures: || Detours: || Alternate routes: || Road restrictions: || Congestion: || CCTV images: || Travel and Tourist information: || Real-time construction information || Other (please specify),Dedicated_cable_TVDist2004 || Automated_phone_sysDist2004 || Internet_web_sitesDist2004 || Pagers_or_PDADist2004 || Interactive_TVDist2004 || KiosksDist2004 || EmailDist2004 || InVehicle_nav_systemsDist2004 || FacsimileDist2004 || T511_phone_systemDist2004 || Do_not_distribute_infoDist2004 || Other_AMQ21a || Arterial_travel_timesType2004 || Arterial_travel_speedsType2004 || Incident_informationType2004 || Special_eventsType2004 || Work_zones_constr_eventsType2004 || ParkingType2004 || WeatherType2004 || Road_surface_conditionsType2004 || Road_closuresType2004 || DetoursType2004 || Alternate_routesType2004 || Road_restrictionsType2004 || CongestionType2004 || CCTV_imagesType2004 || Travel_Tourist_infoType2004 || RealTime_constr_infoType2004 || OTHER_Q21b,04_AM_Q21_1R01C01 || 04_AM_Q21_1R02C01 || 04_AM_Q21_1R03C01 || 04_AM_Q21_1R04C01 || 04_AM_Q21_1R05C01 || 04_AM_Q21_1R06C01 || 04_AM_Q21_1R07C01 || 04_AM_Q21_1R08C01 || 04_AM_Q21_1R09C01 || 04_AM_Q21_1R10C01 || 04_AM_Q21_1R11C01 || 04_AM_Q21_1R12C01TXT || 04_AM_Q21_2R01C01 || 04_AM_Q21_2R02C01 || 04_AM_Q21_2R03C01 || 04_AM_Q21_2R04C01 || 04_AM_Q21_2R05C01 || 04_AM_Q21_2R06C01 || 04_AM_Q21_2R07C01 || 04_AM_Q21_2R08C01 || 04_AM_Q21_2R09C01 || 04_AM_Q21_2R10C01 || 04_AM_Q21_2R11C01 || 04_AM_Q21_2R12C01 || 04_AM_Q21_2R13C01 || 04_AM_Q21_2R14C01 || 04_AM_Q21_2R15C01 || 04_AM_Q21_2R16C01 || 04_AM_Q21_2R17C01TXT,Multiple Choice || Text,"0,1,2",0=No;1=Yes;2=No Response,Work Zone ITS and Queue Warning,Medium,work zones
2004_AM_data.xlsx,2004,AM,,22,"Does your agency provide arterial travel time, speed, and condition information in real-time to the following type of agencies?","Does your agency provide arterial travel time, speed, and condition information in real-time to the following type of agencies? || Agencies involved in highway incident management || Freeway management agencies || Arterial management agencies || Public transit agencies",provide_attsc_HIM || provide_attsc_FMA || provide_attsc_AMA || provide_attsc_PTA,04_AM_Q22_1R01C01 || 04_AM_Q22_1R02C01 || 04_AM_Q22_1R03C01 || 04_AM_Q22_1R04C01,Multiple Choice,"0,1,2",0=No;1=Yes;2=No Response,Traffic Monitoring and Data Collection,High,travel time
2004_AM_data.xlsx,2004,AM,,23,Does your agency receive information on highway-rail intersection crossing blockages for the purpose of managing incident response?,Does your agency receive information on highway-rail intersection crossing blockages for the purpose of managing incident response?,receiveHRIcrossing,04_AM_Q23_1R01C01,Multiple Choice,"0,1,2",0=No;1=Yes;2=No Response,Safety Enforcement and Incident Response,High,incident response
2004_AM_data.xlsx,2004,AM,,31,CCTV,CCTV,IDVM_CCTV2004,04_AM_Q31_1R01C01,Numeric,,,Traffic Monitoring and Data Collection,High,cctv
2004_AM_data.xlsx,2004,AM,,33,Are the CCTV images made available to the public?,Are the CCTV images made available to the public?,CCTVImagesToThePublic,04_AM_Q33_1R01C01,Multiple Choice,"1,2,3,4,5",1=Yes;2=No;3=Don't know;4=No CCTV;5=No Response,Traffic Monitoring and Data Collection,High,cctv
2004_AM_data.xlsx,2004,AM,,35,Has your agency deployed ITS technology at work zones to take over the function of permanent systems that are degraded or made inoperative by construction activities?,Has your agency deployed ITS technology at work zones to take over the function of permanent systems that are degraded or made inoperative by construction activities?,WorkZoneDeployeITS,04_AM_Q35_1R01C01,Multiple Choice,"0,1,2,3",0=No;1=Yes;2=No Response;3=Don’t Know,Work Zone ITS and Queue Warning,Medium,work zones
2004_AM_data.xlsx,2004,AM,,36,"Does your agency use ITS within, or in advance of, work zones to improve mobility, enhance safety, and/or to manage incidents?","Does your agency use ITS within, or in advance of, work zones to improve mobility, enhance safety, and/or to manage incidents?",WorkZoneUseITSAdvance,04_AM_Q36_1R01C01,Multiple Choice,"0,1,2,3",0=No;1=Yes;2=No Response;3=Don’t Know,Work Zone ITS and Queue Warning,Medium,work zones
2004_AM_data.xlsx,2004,AM,,37,"Do you have a Pedestrian Safety Program to reduce fatalities, injuries, or conflicts to pedestrians?","Do you have a Pedestrian Safety Program to reduce fatalities, injuries, or conflicts to pedestrians?",PSProgram,04_AM_Q37_1R01C01,Multiple Choice,"1,2,3,4,5","1=Yes,formal;2=Yes,informal;3=No;4=Don't Know;5=No Response",Vulnerable Road User Safety Applications,High,pedestrian
2004_AM_data.xlsx,2004,AM,,38,Do you use electronic devices to collect Pedestrian data (e.g. pedestrian crossing or walking on the sidewalk)?,Do you use electronic devices to collect Pedestrian data (e.g. pedestrian crossing or walking on the sidewalk)? || Yes. What types of devices are used? (Check all that apply) || Infrared detection || Ultrasonic detection || Doppler radar detection || Microwave detection || Piezometric detection || Video imaging || Push button related || Other (please specify),PedElectronicDevices || PedElectronicDevices_infrared || PedElectronicDevices_ultrasonic || PedElectronicDevices_doppler || PedElectronicDevices_microwave || PedElectronicDevices_piezometric || PedElectronicDevices_video || PedElectronicDevices_pushbutton || PedElectronicDevices_other,04_AM_Q38_1R01C01 || 04_AM_Q38_2R01C01 || 04_AM_Q38_2R02C01 || 04_AM_Q38_2R03C01 || 04_AM_Q38_2R04C01 || 04_AM_Q38_2R05C01 || 04_AM_Q38_2R06C01 || 04_AM_Q38_2R07C01 || 04_AM_Q38_2R08C01TXT,Multiple Choice || Text,"0,1,2",0=No;1=Yes;2=No Response,Traffic Monitoring and Data Collection,High,video imaging; microwave; radar
2004_AM_data.xlsx,2004,AM,,38,Do you use electronic devices to collect Pedestrian data (e.g. pedestrian crossing or walking on the sidewalk)?,Do you use electronic devices to collect Pedestrian data (e.g. pedestrian crossing or walking on the sidewalk)? || Yes. What types of devices are used? (Check all that apply) || Infrared detection || Ultrasonic detection || Doppler radar detection || Microwave detection || Piezometric detection || Video imaging || Push button related || Other (please specify),PedElectronicDevices || PedElectronicDevices_infrared || PedElectronicDevices_ultrasonic || PedElectronicDevices_doppler || PedElectronicDevices_microwave || PedElectronicDevices_piezometric || PedElectronicDevices_video || PedElectronicDevices_pushbutton || PedElectronicDevices_other,04_AM_Q38_1R01C01 || 04_AM_Q38_2R01C01 || 04_AM_Q38_2R02C01 || 04_AM_Q38_2R03C01 || 04_AM_Q38_2R04C01 || 04_AM_Q38_2R05C01 || 04_AM_Q38_2R06C01 || 04_AM_Q38_2R07C01 || 04_AM_Q38_2R08C01TXT,Multiple Choice || Text,"0,1,2",0=No;1=Yes;2=No Response,Vulnerable Road User Safety Applications,High,pedestrian; pedestrian crossing
2004_AM_data.xlsx,2004,AM,,39,Do you use electronic technologies to improve the safety and mobility of pedestrians?,"Do you use electronic technologies to improve the safety and mobility of pedestrians? || Yes. What types of technologies are used? (Check all that apply) || Countdown pedestrian signals || Automatic pedestrian detection || Smart lighting (brightens when pedestrians are present) || Animated eyes || Dynamic ""No Right Turn on Red Signs"" || In-roadway flashing lights || Pedestrian-activated flashing beacons || Other:",ElectronicTechnologies || ElectronicTechnologiesCountdown || ElectronicTechnologiesAutomatic || ElectronicTechnologiesSmart || ElectronicTechnologiesAnimated || ElectronicTechnologiesDynamic || ElectronicTechnologiesInRoad || ElectronicTechnologiesPedestrian || ElectronicTechnologiesOther,04_AM_Q39_1R01C01 || 04_AM_Q39_2R01C01 || 04_AM_Q39_2R02C01 || 04_AM_Q39_2R03C01 || 04_AM_Q39_2R04C01 || 04_AM_Q39_2R05C01 || 04_AM_Q39_2R06C01 || 04_AM_Q39_2R07C01 || 04_AM_Q39_1R08C01TXT,Multiple Choice || Text,"0,1,2",0=No;1=Yes;2=No Response,Vulnerable Road User Safety Applications,High,pedestrian
2004_AM_data.xlsx,2004,AM,,40,"Does your agency use electronic devices to detect the presence of pedestrians (e.g., pedestrian crossing or walking on the sidewalk)?","Does your agency use electronic devices to detect the presence of pedestrians (e.g., pedestrian crossing or walking on the sidewalk)? || Yes. What types of devices are used? (Check all that apply) || Infrared detection || Ultrasonic detection || Doppler radar detection || Microwave detection || Piezometric detection || Video imaging || Other (please specify)",DetectPedestrians || DetectPedestriansinfrared || DetectPedestriansultrasonic || DetectPedestriansdoppler || DetectPedestriansmicrowave || DetectPedestrianspiezometric || DetectPedestriansvideo || DetectPedestriansother,04_AM_Q40_1R01C01 || 04_AM_Q40_2R01C01 || 04_AM_Q40_2R02C01 || 04_AM_Q40_2R03C01 || 04_AM_Q40_2R04C01 || 04_AM_Q40_2R05C01 || 04_AM_Q40_2R06C01 || 04_AM_Q40_2R07C01TXT,Multiple Choice || Text,"0,1,2",0=No;1=Yes;2=No Response,Traffic Monitoring and Data Collection,High,video imaging; microwave; radar
2004_AM_data.xlsx,2004,AM,,40,"Does your agency use electronic devices to detect the presence of pedestrians (e.g., pedestrian crossing or walking on the sidewalk)?","Does your agency use electronic devices to detect the presence of pedestrians (e.g., pedestrian crossing or walking on the sidewalk)? || Yes. What types of devices are used? (Check all that apply) || Infrared detection || Ultrasonic detection || Doppler radar detection || Microwave detection || Piezometric detection || Video imaging || Other (please specify)",DetectPedestrians || DetectPedestriansinfrared || DetectPedestriansultrasonic || DetectPedestriansdoppler || DetectPedestriansmicrowave || DetectPedestrianspiezometric || DetectPedestriansvideo || DetectPedestriansother,04_AM_Q40_1R01C01 || 04_AM_Q40_2R01C01 || 04_AM_Q40_2R02C01 || 04_AM_Q40_2R03C01 || 04_AM_Q40_2R04C01 || 04_AM_Q40_2R05C01 || 04_AM_Q40_2R06C01 || 04_AM_Q40_2R07C01TXT,Multiple Choice || Text,"0,1,2",0=No;1=Yes;2=No Response,Vulnerable Road User Safety Applications,High,pedestrian; pedestrian crossing
2004_AM_data.xlsx,2004,AM,,41,"If your agency does not have any pedestrian-related ITS devices, would it consider using them to improve safety and mobility?","If your agency does not have any pedestrian-related ITS devices, would it consider using them to improve safety and mobility?",NotPedestrianRelatedDevices,04_AM_Q41_1R01C01,Multiple Choice,"1,2,3,4",1=Yes;2=No;3=Maybe;4=No Response,Vulnerable Road User Safety Applications,High,pedestrian
2004_AM_data.xlsx,2004,AM,,42,Does your agency use automated enforcement in facilities under its jurisdiction?,Does your agency use automated enforcement in facilities under its jurisdiction? || What types of automated enforcement are used? || Speeding || Red-light running || Rail Road crossings || Other (please specify),autoEnforce || autoEnforce_Speeding || autoEnforce_Redlight || autoEnforce_Railroad || autoEnforce_Other,04_AM_Q42_1R01C01 || 04_AM_Q42_2R01C01 || 04_AM_Q42_2R02C01 || 04_AM_Q42_2R03C01 || 04_AM_Q42_2R04C01TXT,Multiple Choice || Text,"0,1,2",0=No;1=Yes;2=No Response,Safety Enforcement and Incident Response,High,automated enforcement
2004_AM_data.xlsx,2004,AM,,43,With which agencies are the automated enforcement data shared?,With which agencies are the automated enforcement data shared?,autoEnforce_shared,04_AM_Q43_1R01C01TXT,Text,,,Safety Enforcement and Incident Response,High,automated enforcement
2004_AM_data.xlsx,2004,AM,,44,With which agencies are the automated enforcement data coordinated?,With which agencies are the automated enforcement data coordinated?,autoEnforce_coordinated,04_AM_Q44_1R01C01TXT,Text,,,Safety Enforcement and Incident Response,High,automated enforcement
2004_AM_data.xlsx,2004,AM,,45,Do you have a program for setting speed limits on arterials?,"Do you have a program for setting speed limits on arterials? || Yes, what is it based on? (Check all that apply) || The 85th percentile || Engineering judgement || Speed studies || Radar studies || Type of arterial || Other (please specify)",SetSpeedLimits || SetSpeedLimits_85th || SetSpeedLimits_Eng || SetSpeedLimits_Speed || SetSpeedLimits_Radar || SetSpeedLimits_Type || SetSpeedLimits_Other,04_AM_Q45_1R01C01 || 04_AM_Q45_2R01C01 || 04_AM_Q45_2R02C01 || 04_AM_Q45_2R03C01 || 04_AM_Q45_2R04C01 || 04_AM_Q45_2R05C01 || 04_AM_Q45_2R06C01TXT,Multiple Choice || Text,"0,1,2",0=No;1=Yes;2=No Response,Traffic Monitoring and Data Collection,High,radar
2004_AM_data.xlsx,2004,AM,,46,Does your agency have traffic signal plans designed specifically for inclement weather or slick pavement?,"Does your agency have traffic signal plans designed specifically for inclement weather or slick pavement? || Yes. What criteria are used to implement weather-related signal timing?(Check all that apply) || Light precipitation || Heavy precipitation || Slick pavement (due to water, snow or ice) || Low visibility (due to fog, wind-blown snow/dust, smoke, etc.) || Traffic volume || Time of day || Other:",TrafficSignalPlansInclementWeather || TrafficSignalPlansInclementWeatherLight || TrafficSignalPlansInclementWeatherHeavy || TrafficSignalPlansInclementWeatherSlick || TrafficSignalPlansInclementWeatherLow || TrafficSignalPlansInclementWeatherTraffic || TrafficSignalPlansInclementWeatherTime || TrafficSignalPlansInclementWeatherOther,04_AM_Q46_1R01C01 || 04_AM_Q46_2R01C01 || 04_AM_Q46_2R02C01 || 04_AM_Q46_2R03C01 || 04_AM_Q46_2R04C01 || 04_AM_Q46_2R05C01 || 04_AM_Q46_2R06C01 || 04_AM_Q46_2R07C01TXT,Multiple Choice || Text,"0,1,2",0=No;1=Yes;2=No Response,Signal Management and Intersection Control,High,traffic signal; signal timing
2004_AM_data.xlsx,2004,AM,,47,Does your agency modify incident detection algorithms due to inclement weather or slick pavement?,"Does your agency modify incident detection algorithms due to inclement weather or slick pavement? || Yes. What criteria are used to implement weather-related incident detection? || Light precipitation || Heavy precipitation || Slick pavement (due to water, snow or ice) || Low visibility (due to fog, wind-blown snow/dust, smoke, etc.) || Traffic volume || Time of day || Other:",AlgorithmsInclementWeather || AlgorithmsInclementWeatherLight || AlgorithmsInclementWeatherHeavy || AlgorithmsInclementWeatherSlick || AlgorithmsInclementWeatherLow || AlgorithmsInclementWeatherTraffic || AlgorithmsInclementWeatherTime || AlgorithmsInclementWeatherOther,04_AM_Q47_1R01C01 || 04_AM_Q47_2R01C01 || 04_AM_Q47_2R02C01 || 04_AM_Q47_2R03C01 || 04_AM_Q47_2R04C01 || 04_AM_Q47_2R05C01 || 04_AM_Q47_2R06C01 || 04_AM_Q47_2R07C01TXT,Multiple Choice || Text,"0,1,2",0=No;1=Yes;2=No Response,Safety Enforcement and Incident Response,High,incident detection
2004_AM_data.xlsx,2004,AM,,50,Has your agency deployed any Road Weather Information Systems (RWIS)?,"Has your agency deployed any Road Weather Information Systems (RWIS)? || Yes, how many have you deployed? || What information is collected? (Check all that apply) || Temperature || Humidity || Wind speed || Wind direction || Precipitation (rain) || Precipitation (snow) || Other (please specify)",RWISdeployed || RWISdeployed_howmany || RWISdeployed_temp || RWISdeployed_humidity || RWISdeployed_Wspeed || RWISdeployed_Wdirection || RWISdeployed_rain || RWISdeployed_snow || RWISdeployed_other,04_AM_Q50_1R01C01 || 04_AM_Q50_2R01C01 || 04_AM_Q50_3R01C01 || 04_AM_Q50_3R02C01 || 04_AM_Q50_3R03C01 || 04_AM_Q50_3R04C01 || 04_AM_Q50_3R05C01 || 04_AM_Q50_3R06C01 || 04_AM_Q50_3R07C01TXT,Multiple Choice || Numeric || Text,"0,1,2",0=No;1=Yes;2=No Response,Road Weather Information and Response,Medium,road weather information systems; rwis
2004_AM_data.xlsx,2004,AM,,64,Please check the information that your agency collects/archives in real-time,"Please check the information that your agency collects/archives in real-time || Traffic volumes: || Traffic speeds: || Lane occupancy: || Vehicle classification: || Travel time: || Turning movements || Queues || Phasing/cycle length || Road conditions (e.g., wet, icy, etc.): || Emergency vehicle signal preemption || Transit vehicle signal priority || Weather conditions (e.g., snow, fog, rain, etc.): || Incidents",Traffic_volumesCollect04 || Traffic_volumesArchive04 || Traffic_speedsCollect04 || Traffic_speedsArchive04 || Lane_occupancyCollect04 || Lane_occupancyArchive04 || Vehicle_classificationCollect04 || Vehicle_classificationArchive04 || Travel_timeCollect04 || Travel_timeArchive04 || Turning_movementsCollect04 || Turning_movementsArchive04 || QueuesCollect04 || QueuesArchive04 || PhasingCycle_lengthsCollect04 || PhasingCycle_lengthsArchive04 || Road_conditionsCollect04 || Road_conditionsArchive04 || Emergency_veh_signalCollect04 || Emergency_veh_signalArchive04 || Transit_vehicle_signalCollect04 || Transit_vehicle_signalArchive04 || Weather_conditionsCollect04 || Weather_conditionsArchive04 || IncidentsCollect04 || IncidentsArchive04,04_AM_Q64_1R01C01 || 04_AM_Q64_1R01C02 || 04_AM_Q64_1R02C01 || 04_AM_Q64_1R02C02 || 04_AM_Q64_1R03C01 || 04_AM_Q64_1R03C02 || 04_AM_Q64_1R04C01 || 04_AM_Q64_1R04C02 || 04_AM_Q64_1R05C01 || 04_AM_Q64_1R05C02 || 04_AM_Q64_1R06C01 || 04_AM_Q64_1R06C02 || 04_AM_Q64_1R07C01 || 04_AM_Q64_1R07C02 || 04_AM_Q64_1R08C01 || 04_AM_Q64_1R08C02 || 04_AM_Q64_1R09C01 || 04_AM_Q64_1R09C02 || 04_AM_Q64_1R10C01 || 04_AM_Q64_1R10C02 || 04_AM_Q64_1R11C01 || 04_AM_Q64_1R11C02 || 04_AM_Q64_1R12C01 || 04_AM_Q64_1R12C02 || 04_AM_Q64_1R13C01 || 04_AM_Q64_1R13C02,Multiple Choice,"0,1,2",0=No;1=Yes;2=No Response,Signal Management and Intersection Control,High,preemption; signal priority
2004_AM_data.xlsx,2004,AM,,64,Please check the information that your agency collects/archives in real-time,"Please check the information that your agency collects/archives in real-time || Traffic volumes: || Traffic speeds: || Lane occupancy: || Vehicle classification: || Travel time: || Turning movements || Queues || Phasing/cycle length || Road conditions (e.g., wet, icy, etc.): || Emergency vehicle signal preemption || Transit vehicle signal priority || Weather conditions (e.g., snow, fog, rain, etc.): || Incidents",Traffic_volumesCollect04 || Traffic_volumesArchive04 || Traffic_speedsCollect04 || Traffic_speedsArchive04 || Lane_occupancyCollect04 || Lane_occupancyArchive04 || Vehicle_classificationCollect04 || Vehicle_classificationArchive04 || Travel_timeCollect04 || Travel_timeArchive04 || Turning_movementsCollect04 || Turning_movementsArchive04 || QueuesCollect04 || QueuesArchive04 || PhasingCycle_lengthsCollect04 || PhasingCycle_lengthsArchive04 || Road_conditionsCollect04 || Road_conditionsArchive04 || Emergency_veh_signalCollect04 || Emergency_veh_signalArchive04 || Transit_vehicle_signalCollect04 || Transit_vehicle_signalArchive04 || Weather_conditionsCollect04 || Weather_conditionsArchive04 || IncidentsCollect04 || IncidentsArchive04,04_AM_Q64_1R01C01 || 04_AM_Q64_1R01C02 || 04_AM_Q64_1R02C01 || 04_AM_Q64_1R02C02 || 04_AM_Q64_1R03C01 || 04_AM_Q64_1R03C02 || 04_AM_Q64_1R04C01 || 04_AM_Q64_1R04C02 || 04_AM_Q64_1R05C01 || 04_AM_Q64_1R05C02 || 04_AM_Q64_1R06C01 || 04_AM_Q64_1R06C02 || 04_AM_Q64_1R07C01 || 04_AM_Q64_1R07C02 || 04_AM_Q64_1R08C01 || 04_AM_Q64_1R08C02 || 04_AM_Q64_1R09C01 || 04_AM_Q64_1R09C02 || 04_AM_Q64_1R10C01 || 04_AM_Q64_1R10C02 || 04_AM_Q64_1R11C01 || 04_AM_Q64_1R11C02 || 04_AM_Q64_1R12C01 || 04_AM_Q64_1R12C02 || 04_AM_Q64_1R13C01 || 04_AM_Q64_1R13C02,Multiple Choice,"0,1,2",0=No;1=Yes;2=No Response,Traffic Monitoring and Data Collection,High,travel time
